age,hours_work_week,gpa,life_satisfaction,desire_to_achieve,number_drinks,stress
27,8,3.97,27,22,7,17
20,7,3.2,29,27,8,12
20,60,3.1,19,20,3,16
19,6,2.8,30,27,9,11
23,45,3.77,29,24,0,16
23,40,3.8,20,15,0,21
20,40,3,19,18,0,15
24,35,3.8,29,26,12,9
20,35,3,17,18,3,18
21,30,4,35,26,0,13
18,30,0,16,14,15,17
22,30,3.65,33,28,15,12
18,3,2.1,25,22,20,17
29,20,4,22,27,1,21
20,20,3,26,27,0,11
22,20,3.7,13,22,0,14
22,20,3.6,22,23,16,11
20,12,3.4,17,16,6,16
21,12,4,30,25,5,16
43,10,4,18,20,8,18
20,10,3.3,7,26,0,13
18,0,2.5,11,11,0,14
26,0,3.95,16,13,2,16
23,0,3.8,12,12,10,12
20,0,3.2,21,26,0,13
18,0,2.7,18,18,3,19
20,0,3.1,22,22,0,14
18,0,2.5,28,27,3,15
18,0,2.5,19,24,12,11
26,0,3.91,15,16,18,12
18,0,0,17,16,1,19
18,0,4,31,22,5,21
31,55,4,29,27,4,13
26,55,3.97,15,17,1,11
20,50,3.3,23,13,4,11
23,50,3.8,33,21,2,10
21,45,3.4,5,21,0,20
32,45,4,18,22,2,13
21,45,3.5,22,21,4,12
20,40,4,11,20,0,12
20,40,3.1,18,28,0,17
22,40,3.7,35,28,0,17
21,40,3.52,22,26,8,20
20,40,3.3,31,25,3,15
33,40,4,26,24,1,9
23,40,3.8,19,21,2,11
22,40,3.7,14,16,6,13
21,40,3.5,13,9,15,16
20,40,3.3,30,26,0,13
23,40,3.8,30,25,0,10
20,40,3.3,30,28,5,11
21,40,3.4,32,14,0,15
24,40,3.85,34,26,10,11
31,40,4,13,24,5,9
49,40,4,28,22,0,9
26,40,3.9,34,25,10,9
25,38,3.9,23,28,5,11
20,35,3.3,29,26,3,14
22,35,3.7,18,25,15,14
21,35,3.6,34,28,5,13
25,30,3.9,28,26,0,14
21,30,3.6,16,13,2,16
21,30,3.6,21,22,3,15
26,30,3.94,18,12,4,20
25,30,3.9,28,24,3,15
20,30,3,29,28,1,10
19,30,3,20,15,20,9
19,30,3,27,25,20,14
28,30,3.97,28,23,2,16
25,30,3.9,23,24,5,14
22,30,3.7,26,20,1,16
21,30,3.6,27,26,0,14
18,30,2.7,25,21,12,19
20,30,3,30,28,7,11
21,28,3.5,29,28,2,15
20,28,3.18,27,25,8,11
20,27,3.27,18,18,4,19
24,25,3.89,14,24,1,17
21,25,3.5,23,24,3,11
23,25,3.72,32,25,0,20
23,25,3.7,28,23,2,11
20,25,3.09,25,24,0,12
21,25,3.5,29,28,10,8
20,25,3,33,28,10,14
21,25,3.4,15,12,0,11
21,25,3.59,25,23,1,10
19,25,3,26,27,1,14
21,25,3.5,25,25,6,17
20,25,3.3,29,20,5,14
21,22,3.59,20,19,10,13
21,21,3.47,27,21,10,12
23,20,3.8,28,25,1,14
19,20,3,23,18,10,16
22,20,3.7,11,18,15,23
20,20,3.2,18,23,0,24
20,20,3,9,11,0,14
20,20,3.1,26,25,1,16
20,20,3.2,24,23,4,15
20,20,3.1,20,20,10,14
24,20,3.89,28,20,2,14
23,20,3.7,20,25,0,18
23,20,3.8,25,22,7,14
22,20,3.6,30,26,5,9
21,20,3.59,34,24,0,13
21,20,3.6,30,27,5,13
20,20,3.1,12,11,12,16
19,20,2.8,29,26,4,12
19,20,2.8,25,18,20,11
18,20,0,26,26,0,14
18,20,2.7,24,23,3,15
24,20,3.86,30,22,5,19
21,20,3.5,19,12,6,14
20,20,3.2,23,19,3,14
23,20,3.7,30,19,0,8
22,20,3.7,28,28,2,9
20,20,3.2,31,27,0,13
19,20,3,24,22,1,11
23,20,3.8,26,25,25,14
19,18,3,35,26,0,7
20,18,3.4,28,24,15,12
21,18,3.6,34,28,0,17
19,18,2.8,25,18,20,11
23,17,3.7,26,27,0,16
20,16,3.05,26,19,2,12
24,16,3.8,23,25,0,10
18,16,2.75,15,18,1,14
19,16,2.9,23,26,16,13
21,15,3.5,34,25,0,11
21,15,3.6,25,28,0,11
20,15,3,25,24,0,17
22,15,3.7,17,20,0,19
19,15,3,20,24,6,14
18,15,2.6,25,17,0,24
20,15,3.3,25,24,3,9
20,15,3.1,14,16,10,15
18,15,2.7,7,21,2,14
20,15,3.38,32,28,5,9
20,15,3,29,18,4,14
18,14,2.5,24,24,2,19
20,13.5,3.32,33,28,1,17
18,12,2.32,19,27,0,28
20,12,3.2,8,4,35,14
19,12,2.8,28,26,0,9
20,12,3.25,28,22,10,13
20,12,3.2,18,19,1,15
21,12,3.4,29,25,0,15
21,11,3.6,25,26,0,16
20,11,3.2,24,24,30,11
20,10,3.4,32,25,2,18
20,10,3.2,16,22,15,16
18,10,2.6,29,22,6,11
24,10,3.8,15,11,10,20
21,10,3.5,29,28,3,8
21,10,3.5,25,27,7,19
20,10,3.02,27,20,0,7
19,10,2.77,30,27,7,14
21,10,3.5,17,22,7,16
20,10,3,31,27,0,9
19,10,2.9,22,18,8,19
18,10,0,21,14,0,15
20,10,3.2,23,14,4,9
23,10,3.8,28,20,10,11
20,9,3.2,22,25,6,19
21,8,3.5,31,28,3,14
21,8,3.5,31,28,0,17
23,7,3.72,22,23,9,15
21,6,3.4,18,28,1,9
22,6,3.6,8,14,5,18
21,6,3.57,30,28,0,17
18,5,2.75,25,24,3,18
20,5,3,24,18,3,11
22,5,3.64,21,25,0,17
20,5,3.1,11,15,1,19
42,4,4,28,21,0,17
18,4,2.5,28,27,0,12
19,3,2.83,33,27,21,13
21,2,3.6,22,28,8,15
19,2,2.9,24,28,10,17
19,2,2.9,18,7,3,10
18,2,2.7,26,24,15,15
18,2,0,28,18,6,17
19,2,2.9,22,20,5,21
19,1,2.8,22,15,0,20
21,1,3.5,33,26,2,15
20,1,3,33,28,1,13
18,1,2.09,34,26,0,11
20,0,3.2,17,20,2,17
18,0,2.56,19,22,0,20
18,0,0,13,16,0,8
18,0,0,24,26,3,10
26,0,3.95,21,18,0,18
19,0,3,25,27,0,13
19,0,2.9,33,28,6,13
18,0,2.7,23,27,4,7
18,0,0,32,28,7,12
24,0,3.89,16,25,0,21
20,0,3.3,17,26,0,18
20,0,3.1,25,22,2,19
18,0,2.6,34,26,2,16
18,0,2.5,13,26,2,18
20,0,3.2,19,20,0,18
20,0,3,12,16,2,12
20,0,3.2,22,27,3,12
19,0,2.8,31,28,0,11
18,0,2.5,31,22,1,13
18,0,2.5,32,22,4,23
21,0,3.56,25,26,4,21
24,0,4,30,17,0,12
22,0,3.7,27,22,1,11
22,0,3.64,24,24,4,8
22,0,3.65,28,23,20,10
21,0,3.5,16,16,5,16
21,0,3.5,16,7,5,13
21,0,3.6,19,25,10,16
19,0,2.86,30,28,2,16
19,0,2.9,34,28,10,11
18,0,2.7,13,20,3,17
18,0,2.11,30,23,3,19
18,0,0,23,23,3,18
18,0,0,31,28,4,11
18,0,2.7,15,15,6,11
18,0,0,23,22,6,13
18,0,2.7,20,23,18,20
20,0,3.4,30,27,0,13
25,0,3.9,34,28,0,9
21,0,3.5,15,25,0,19
21,0,3.5,34,25,6,12
20,0,3,35,28,2,10
19,0,2.9,28,22,30,12
18,0,0,25,24,3,20
18,0,2.5,23,21,3,23
47,0,4,30,27,5,19
19,0,2.9,23,10,5,12
21,0,3.5,29,24,30,9
20,0,3.3,21,26,0,22
20,0,3.1,20,12,0,13
20,0,3,26,20,0,15
20,0,3,25,21,25,15
18,0,2.67,22,19,0,18
41,0,4,30,17,1.5,9
22,0,3.7,28,24,1,14
22,0,3.6,27,24,20,18
20,0,3.1,29,25,2,18
20,0,3.2,24,18,3,11